2013,Stealing from person,,,Steal from motor vehicle,,,Robbery,,,Assault -non-domestic violence,,,Assault - domestic violence,,,Sexual offences,,
,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank
Upper Hunter Shire, 2 , 13.8 , 104 , 62 , 427.5 , 91 , - , - , nc , 50 , 344.8 , 89 , 26 , 179.3 , 123 , 18 , 124.1 , 100 
Upper Lachlan Shire, - , - , nc , 9 , 120.0 , 137 , - , - , nc , 11 , 146.7 , 137 , 15 , 200.0 , 117 , 14 , 186.7 , 57 
Uralla, - , - , nc , 7 , 111.2 , 138 , - , - , nc , 18 , 285.9 , 102 , 16 , 254.1 , 106 , 7 , 111.2 , 109 
Urana, - , nc , nc , - , nc , nc , - , nc , nc , 1 ,  nc  ,  nc  , 5 , nc , nc , 2 , nc , nc 
Wagga Wagga, 33 , 53.7 , 52 , 532 , 865.9 , 22 , 18 , 29.3 , 64 , 422 , 686.8 , 31 , 348 , 566.4 , 34 , 133 , 216.5 , 44 
Wakool, - , - , nc , 6 , 148.6 , 135 , - , - , nc , 10 , 247.6 , 113 , 13 , 321.9 , 89 , 2 , 49.5 , 139 
Walcha, - , - , nc , 3 , 97.1 , 139 , - , - , nc , 20 , 647.2 , 35 , 11 , 356.0 , 81 , 21 , 679.6 , 2 
Walgett, 4 , 58.3 , 46 , 56 , 816.6 , 27 , 1 , 14.6 , 97 , 116 ," 1,691.5 ", 2 , 219 ," 3,193.4 ", 2 , 31 , 452.0 , 3 
Warren, 1 , nc , nc , 17 , nc , nc , - , nc , nc , 22 ,  nc  ,  nc  , 19 , nc , nc , 10 , nc , nc 
Warringah, 57 , 38.2 , 70 , 591 , 395.6 , 97 , 25 , 16.7 , 90 , 333 , 222.9 , 120 , 234 , 156.6 , 128 , 108 , 72.3 , 128 
Warrumbungle Shire, - , - , nc , 45 , 456.5 , 86 , 1 , 10.1 , 104 , 54 , 547.8 , 50 , 50 , 507.3 , 41 , 35 , 355.1 , 12 
Waverley, 95 , 137.2 , 10 , 229 , 330.6 , 112 , 23 , 33.2 , 49 , 304 , 438.9 , 76 , 148 , 213.7 , 113 , 61 , 88.1 , 120 
Weddin, - , - , nc , 3 , 81.0 , 140 , - , - , nc , 13 , 351.1 , 88 , 8 , 216.0 , 112 , 7 , 189.0 , 55 
Wellington, 7 , 78.5 , 29 , 78 , 874.5 , 21 , 3 , 33.6 , 48 , 76 , 852.1 , 12 , 56 , 627.9 , 26 , 32 , 358.8 , 11 
Wentworth, - , - , nc , 51 , 753.7 , 32 , - , - , nc , 40 , 591.1 , 43 , 67 , 990.1 , 5 , 21 , 310.3 , 15 
Willoughby, 66 , 91.2 , 21 , 219 , 302.5 , 117 , 22 , 30.4 , 60 , 150 , 207.2 , 126 , 87 , 120.2 , 136 , 69 , 95.3 , 116 
